text,intent,sklearn_prediction,onnx_prediction,sklearn_confidence,onnx_confidence,prediction_match
i'm heading out running,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,0.6837206,0.6837206482887268,True
why won't my aids pair,Help_Pairing,Help_Pairing,Help_Pairing,0.93525493,0.9352550506591797,True
what can i do with the advanced app?,Help_AppSettings,Help_AppSettings,Help_AppSettings,0.7578212,0.7578210234642029,True
the audio sounds distorted,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.72168773,0.7216877937316895,True
what's demo mode,Help_DemoMode,Help_DemoMode,Help_DemoMode,0.8577091,0.8577091693878174,True
how long have i been standing,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,0.9049013,0.9049012064933777,True
how does edge mode improve sound,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,0.8401183,0.8401183485984802,True
location,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9793768,0.9793767929077148,True
make it softer please,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.95283103,0.9528309106826782,True
help me remember to buy milk,reminders.add,reminders.add,reminders.add,0.98997855,0.989978551864624,True
beam the tv sound to me,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.9226659,0.9226661324501038,True
please tell me what how much do i owe you is in español,Cmd.TranslationStart,Cmd.TranslationStart,Cmd.TranslationStart,0.88466465,0.8846645951271057,True
message this contact,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.7581862,0.7581862211227417,True
give me a little more sound,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.6918691,0.6918690204620361,True
how do i get a better activity score?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.9429369,0.9429370164871216,True
can you i need to disconnect the hearing aids from the phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9711533,0.9711534380912781,True
can you change to mask mode memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99372816,0.9937280416488647,True
switch memory to two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9916557,0.991655707359314,True
switch memory to home,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99042237,0.990422248840332,True
please mute the hearing aids,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.8779914,0.8779913783073425,True
when will the batteries run out,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.7571221,0.7571220993995667,True
so this is your hearing aids,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9957072,0.9957072734832764,True
can you set to home program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99515957,0.9951595664024353,True
can you remind me at 1 p.m. that i have to eat,reminders.add,reminders.add,reminders.add,0.98948026,0.9894802570343018,True
show help guide for wellness,Help_ThriveScore,Help_Health,Help_Health,0.32884675,0.3288467228412628,True
how do i change programs on the hearing aid?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.9579063,0.9579064249992371,True
how do i enable double tap on my aids?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.8841688,0.8841687440872192,True
track my stroll,Cmd.ActivityWalk,Cmd.ActivityWalk,Cmd.ActivityWalk,0.85879266,0.8587924838066101,True
how do i adjust my noise masker on the left aid?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9723002,0.9723002910614014,True
how do you calculate the thrive score?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.967151,0.9671510457992554,True
remind me to pick up my prescription wednesday at 5 p.m.,reminders.add,reminders.add,reminders.add,0.9898808,0.9898806810379028,True
noise setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98221785,0.9822177290916443,True
i need an adjustment to my hearing aids,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.83460855,0.8346084356307983,True
what's up today,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.993026,0.993025541305542,True
end streaming,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,0.9263053,0.9263054728507996,True
turn my left hearing aid up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.97569543,0.9756955504417419,True
turn off remote mic streaming,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,0.53402644,0.5340265035629272,True
track this ride,Cmd.ActivityCycle,Default Fallback Intent,Default Fallback Intent,0.40508482,0.40508484840393066,True
new reminder about washing car,reminders.add,reminders.add,reminders.add,0.9588474,0.9588474035263062,True
help pairing with my phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9454762,0.9454762935638428,True
turn up the volume in my right hearing aid,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9498181,0.9498181343078613,True
how do i unmute my hearing aids?,Help_Volume,Help_Volume,Help_Volume,0.95040023,0.9504004120826721,True
i have an appointment coming up don't let me miss it,reminders.add,reminders.add,reminders.add,0.9608315,0.9608316421508789,True
please change program to gym,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99345386,0.9934537410736084,True
can you noise program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9937615,0.9937614798545837,True
guide me on changing volume,Help_Volume,Help_Volume,Help_Volume,0.9653984,0.965398371219635,True
what's on the homepage,Help_Home,Help_Home,Help_Home,0.5320521,0.5320520997047424,True
save the run i just finished,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,0.84898055,0.8489803671836853,True
please set program to office,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99291855,0.9929185509681702,True
set a reminder to pick up prescription today at 5 p.m.,reminders.add,reminders.add,reminders.add,0.9929455,0.992945671081543,True
help my aids sound off,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.8065985,0.8065983057022095,True
what features does this app have,Help_Home,Help_Home,Help_Home,0.6254162,0.6254162192344666,True
help me get oriented,Help_Home,Help_Home,Help_Home,0.6066839,0.6066838502883911,True
please it's too loud turn it down,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9673423,0.96734219789505,True
can you find my song,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9860248,0.9860244393348694,True
give me text of this conversation,Cmd.TranscribeStart,Cmd.TranscribeStart,Cmd.TranscribeStart,0.5341379,0.5341379642486572,True
i'm in the car now,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98798996,0.9879899621009827,True
switch to gym,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.981447,0.9814468622207642,True
i'm about to exercise,Cmd.ActivityExercise,Default Fallback Intent,Default Fallback Intent,0.59176904,0.5917689800262451,True
tell me about edge mode,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,0.92392814,0.9239281415939331,True
please show me my step count,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,0.9185703,0.9185702800750732,True
can you hearing aid is not work,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.96658325,0.9665833711624146,True
please set program to one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99336064,0.9933606386184692,True
stop playing the tv through my aids,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,0.8148681,0.8148679733276367,True
can you i misplaced my hearing aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9791434,0.9791432619094849,True
please set memory to outdoors,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9936028,0.9936028122901917,True
the tv is on but i miss what they say,Cmd.VolumeIncrease,Default Fallback Intent,Default Fallback Intent,0.9486743,0.9486740827560425,True
remember to take my medicine tuesday morning at 10 a.m.,reminders.add,reminders.add,reminders.add,0.98705673,0.9870566725730896,True
can my hearing aids handle water,Help_CleanCare,Help_CleanCare,Help_CleanCare,0.6052788,0.6052787899971008,True
what's going on,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9920047,0.9920046925544739,True
can you want to move up yeah i will,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.992786,0.9927861094474792,True
switch your hand sweetheart,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9968079,0.996807873249054,True
guide me to my heart rate,Help_HeartRate,Help_HeartRate,Help_HeartRate,0.87646306,0.8764629364013672,True
change memory to tinnitus,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99196905,0.9919689297676086,True
write a program in switch,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99420553,0.9942054152488708,True
can you raise the volume up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9690196,0.9690195322036743,True
please heart rate recovery guide,Help_HeartRateRecovery,Help_HeartRateRecovery,Help_HeartRateRecovery,0.92154443,0.9215443730354309,True
can you locate my hearing aids?,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9795792,0.979578971862793,True
calories biking,Cmd.ActivityCycle,Cmd.ActivityCycle,Cmd.ActivityCycle,0.92462456,0.9246248006820679,True
can you turn off cable,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.995207,0.9952070116996765,True
can you set memory to three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99255437,0.9925544857978821,True
please change to outdoors program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9940779,0.9940778017044067,True
switch to car program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99345946,0.9934596419334412,True
can i compare the adjustments made by my hearing care specialist?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.96355236,0.9635523557662964,True
it was discouraging and then i found balance of nature it's just being a no-brainer ever since i feel good,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99192655,0.9919265508651733,True
what are the main things i can do,Help_Home,Help_Home,Help_Home,0.54930526,0.549305260181427,True
please i lost my hearing aids. can you help me find them?,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9826789,0.9826788902282715,True
pub setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99088913,0.9908891320228577,True
how do i know if an alert text message is sent?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.9606909,0.9606909155845642,True
can you remind me,reminders.add,reminders.add,reminders.add,0.992698,0.9926979541778564,True
can you remind me to wash the car,reminders.add,reminders.add,reminders.add,0.9934321,0.9934320449829102,True
when is memorial day,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9905998,0.9905998706817627,True
how to invite my son to hearshare?,Help_HearShare,Help_HearShare,Help_HearShare,0.96122164,0.9612217545509338,True
please help with the main screen,Help_Home,Help_Home,Help_Home,0.8298908,0.829890787601471,True
help with intellivoice,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.94164515,0.9416451454162598,True
kid pushes the top button real quick and let it go the volume goes up,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.95845366,0.9584537744522095,True
why is my left hearing aids not working,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9361772,0.9361770749092102,True
nudge me about this later,reminders.add,reminders.add,reminders.add,0.97120184,0.9712019562721252,True
please set to school memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99439263,0.994392454624176,True
switch memory to car,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.989398,0.989398181438446,True
can you let me hear the remote mic,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.7177532,0.7177532911300659,True
can you i don't remember i don't remember this being such a big fish,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99536055,0.9953604340553284,True
does it spot a fall and alert someone,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.9254624,0.9254624843597412,True
can i compare the adjustments made by my hearing specialist?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.9682871,0.9682870507240295,True
upkeep for my hearing aids,Help_CleanCare,Default Fallback Intent,Default Fallback Intent,0.55935514,0.5593551993370056,True
please change to golf program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9941299,0.9941297769546509,True
how do i change to another program on the aids?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.96524805,0.9652479290962219,True
share my news with a contact by text,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,0.88639855,0.8863984942436218,True
how do i customize my hearing aid?,Help_Customize,Help_Customize,Help_Customize,0.9342429,0.9342429041862488,True
how do i get to swimsuits,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9924184,0.9924180507659912,True
turn mute off,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.51657873,0.516578733921051,True
please locate my right hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.93563074,0.935630738735199,True
change to meeting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99203086,0.9920306205749512,True
please set program to automatic,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99365294,0.9936531186103821,True
please decrease the loudness in my aids,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.98591936,0.9859192371368408,True
please play my last message,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.93399596,0.9339956641197205,True
can you tone change,Help_DeviceSettings,Cmd.MemoryChange,Cmd.MemoryChange,0.76920265,0.7692027688026428,True
please turn on restaurant program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99271226,0.9927120208740234,True
how do i pick a translation language,Help_Translate,Help_Translate,Help_Translate,0.72941524,0.729415237903595,True
silence,Cmd.VolumeMute,Default Fallback Intent,Default Fallback Intent,0.677947,0.677946925163269,True
it's going to be our little ring bearer dude,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9951786,0.9951783418655396,True
is edge mode available on my hearing aid,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,0.9423485,0.9423483610153198,True
can you distance from new jersey,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99551827,0.9955182075500488,True
i can't remember where my other hearing aid is,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9799359,0.9799360036849976,True
can you help me get a message to someone?,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,0.95304126,0.9530413150787354,True
where can i find videos for the hearing aid for instructions,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.73382896,0.7338290810585022,True
can you set memory to office,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99387276,0.9938726425170898,True
i'm off for a walk,Cmd.ActivityWalk,Cmd.ActivityWalk,Cmd.ActivityWalk,0.7698323,0.7698323130607605,True
can you i don’t hear a difference when i change my balance control,Help_WiCROS,Help_WiCROS,Help_WiCROS,0.7982754,0.7982755303382874,True
wireless hearing aid connection,Cmd.StreamingStart,Default Fallback Intent,Default Fallback Intent,0.64807785,0.6480779051780701,True
molesting hearing aids to cousin,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9951564,0.9951562881469727,True
what does the engagement score mean?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.94341147,0.9434114098548889,True
drop the volume by 50%,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.7214176,0.7214175462722778,True
how do i disabled mask mode?,Help_MaskMode,Help_MaskMode,Help_MaskMode,0.94094664,0.9409465193748474,True
remind me to work out,reminders.add,reminders.add,reminders.add,0.98799217,0.9879922270774841,True
is it time to change my batteries,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.54762834,0.5476283431053162,True
disconnect the streaming,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,0.9217596,0.9217597246170044,True
should my hearing aid look like the one in the video?,Help_InsertDevice,Help_InsertDevice,Help_InsertDevice,0.5372741,0.537274181842804,True
mask setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98824084,0.9882407784461975,True
can you take a look at a distance,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9969511,0.9969514012336731,True
can you remind me on the 27th of august tomy flight,reminders.add,reminders.add,reminders.add,0.9891099,0.989109992980957,True
cros help please,Help_WiCROS,Help_WiCROS,Help_WiCROS,0.9088034,0.908803403377533,True
where's voice ai?,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.80370444,0.8037044405937195,True
can you max loudness,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9042982,0.904297947883606,True
play it again.,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.6576903,0.6576902270317078,True
can you stream tv,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.9522402,0.9522401690483093,True
please change to auditorium program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99489814,0.9948977828025818,True
can you stream from the microphone,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.96200794,0.9620081782341003,True
how will i know when my audiologist adjusted my hearing aids?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.9741434,0.9741434454917908,True
how do i find my hearing aid?,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.97549176,0.9754918813705444,True
please switch to home program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9939452,0.9939451813697815,True
please fisher is jacking off in the car so it's in the closet,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9969369,0.9969368577003479,True
send a message to my wife,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.5378193,0.5378193855285645,True
remaining battery,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.9031667,0.9031668305397034,True
help with changing programs on my hearing aid,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.9645868,0.9645867943763733,True
how do i geotag my current program?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.8523087,0.8523086309432983,True
please set to speech memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99233055,0.9923304319381714,True
how are you,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99509335,0.9950934052467346,True
i want to hear the television in my aids,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.9568906,0.9568907618522644,True
switch memory to number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99260616,0.9926061630249023,True
please adjustments didn't hear it in the office but i am out to your there,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9963735,0.9963734745979309,True
can you set setting to one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9876573,0.9876573085784912,True
show me an overview of ipro,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,0.82956994,0.8295698761940002,True
when do i intercept an alert?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.95717716,0.9571772813796997,True
am i close to my aerobics goal,Cmd.ActivityAerobics,Cmd.ActivityAerobics,Cmd.ActivityAerobics,0.88728756,0.8872875571250916,True
take us to see forget it we are in the car and the drone noise will cost if i have them in the road noises being amplified as well,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9934783,0.9934780597686768,True
please remind me on weekend,reminders.add,reminders.add,reminders.add,0.99145496,0.9914550185203552,True
please show me thrive assistant help,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,0.8521103,0.8521103262901306,True
explain the personalization options,Help_Customize,Help_Customize,Help_Customize,0.7458395,0.7458394765853882,True
i can't find my handset ring it,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.8874468,0.8874468207359314,True
mute,Cmd.VolumeMute,Default Fallback Intent,Default Fallback Intent,0.6270255,0.6270255446434021,True
how do i change programs on the aids?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.9628413,0.9628411531448364,True
will i make it through the day,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.7126571,0.7126572728157043,True
connect right aid,Help_Pairing,Help_Pairing,Help_Pairing,0.9424722,0.9424722790718079,True
tell me a joke i need to be cheered up,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9945492,0.9945492148399353,True
how do i go from one program to another,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.7570942,0.7570940852165222,True
switch to mute,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9693369,0.9693369269371033,True
please change program to number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9941111,0.9941111207008362,True
change the memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9848654,0.9848653078079224,True
caption the people talking,Cmd.TranscribeStart,Cmd.TranscribeStart,Cmd.TranscribeStart,0.78363013,0.7836301326751709,True
what did my contacts send me,Cmd.ListenMessage,Default Fallback Intent,Default Fallback Intent,0.59232026,0.5923203229904175,True
please schedule physical therapy appointment tomorrow morning 8:40 a.m.,reminders.add,reminders.add,reminders.add,0.73054355,0.7305435538291931,True
show me help for transcribe,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.9539783,0.9539781808853149,True
how much more running do i need to do today?,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,0.9225658,0.9225656986236572,True
time my bike ride,Cmd.ActivityCycle,Cmd.ActivityCycle,Cmd.ActivityCycle,0.7032294,0.7032294869422913,True
please switch to everyday,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9802475,0.9802478551864624,True
can you change memory to restaurant,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99494547,0.9949455261230469,True
can you change to train program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9940673,0.9940671920776367,True
how do i make lasagna,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9968076,0.9968075752258301,True
i need to connect the hearing aids to the phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9725568,0.9725568294525146,True
can you change to memory number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9952429,0.9952433109283447,True
can i go to a different hearing aid program?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.8154025,0.8154025077819824,True
how do i change memories on the aid?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.9241082,0.9241083264350891,True
how do i change the name of the accessory?,Help_Accessories,Help_Accessories,Help_Accessories,0.9159504,0.91595059633255,True
information on the activity score,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.94033384,0.9403339624404907,True
please personalize my hearing aid settings,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.6820857,0.6820857524871826,True
how do i adjust my loudness of the tinnitus noise in my hearing aids?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.98318857,0.9831885099411011,True
can you help for speech to text,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.8395215,0.8395214676856995,True
please change memory to train,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9940712,0.994071364402771,True
locate the nearest golf course,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9946467,0.9946466088294983,True
can you translate how much do i owe you in español,Cmd.TranslationStart,Cmd.TranslationStart,Cmd.TranslationStart,0.8827405,0.8827404379844666,True
can you mavis by stupid hearing aids,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9955336,0.9955337047576904,True
use the profile for noisy places,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98117816,0.981178343296051,True
will i hear what is being transcribed?,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.743547,0.7435469031333923,True
