text,intent,sklearn_prediction,onnx_prediction,prediction_match,sklearn_confidence,onnx_confidence,confidence_diff
please turn on restaurant program,Cmd.MemoryChange,11,11,True,0.99271226,0.9927121,1.7881393e-07
how do i pick a translation language,Help_Translate,50,50,True,0.72941524,0.7294151,1.1920929e-07
silence,Cmd.VolumeMute,21,21,True,0.677947,0.6779473,2.9802322e-07
it's going to be our little ring bearer dude,Default Fallback Intent,21,21,True,0.9951786,0.99517834,2.3841858e-07
is edge mode available on my hearing aid,Help_EdgeMode,30,30,True,0.9423485,0.94234806,4.172325e-07
can you distance from new jersey,Default Fallback Intent,21,21,True,0.99551827,0.9955182,5.9604645e-08
i can't remember where my other hearing aid is,Help_FindMyHearingAids,32,32,True,0.9799359,0.979936,1.1920929e-07
can you help me get a message to someone?,Cmd.SendMessage,12,12,True,0.95304126,0.95304126,0.0
where can i find videos for the hearing aid for instructions,Default Fallback Intent,21,21,True,0.73382896,0.733831,2.026558e-06
can you set memory to office,Cmd.MemoryChange,11,11,True,0.99387276,0.99387264,1.1920929e-07
i'm off for a walk,Cmd.ActivityWalk,7,7,True,0.7698323,0.7698311,1.1920929e-06
can you i don’t hear a difference when i change my balance control,Help_WiCROS,54,54,True,0.7982754,0.7982757,2.9802322e-07
wireless hearing aid connection,Cmd.StreamingStart,21,21,True,0.64807785,0.6480788,9.536743e-07
molesting hearing aids to cousin,Default Fallback Intent,21,21,True,0.9951564,0.9951563,1.1920929e-07
what does the engagement score mean?,Help_ThriveScore,47,47,True,0.94341147,0.9434114,5.9604645e-08
drop the volume by 50%,Cmd.VolumeDecrease,17,17,True,0.7214176,0.72141707,5.364418e-07
how do i disabled mask mode?,Help_MaskMode,41,41,True,0.94094664,0.9409466,5.9604645e-08
remind me to work out,reminders.add,55,55,True,0.98799217,0.9879923,1.1920929e-07
is it time to change my batteries,Cmd.BatteryLevel,8,8,True,0.54762834,0.54762703,1.3113022e-06
disconnect the streaming,Cmd.StreamingStop,14,14,True,0.9217596,0.9217593,2.9802322e-07
should my hearing aid look like the one in the video?,Help_InsertDevice,39,39,True,0.5372741,0.53727335,7.748604e-07
mask setting,Cmd.MemoryChange,11,11,True,0.98824084,0.9882407,1.1920929e-07
can you take a look at a distance,Default Fallback Intent,21,21,True,0.9969511,0.9969514,2.9802322e-07
can you remind me on the 27th of august tomy flight,reminders.add,55,55,True,0.9891099,0.98911,1.1920929e-07
cros help please,Help_WiCROS,54,54,True,0.9088034,0.9088033,1.1920929e-07
where's voice ai?,Help_IntelliVoice,40,40,True,0.80370444,0.80370426,1.7881393e-07
can you max loudness,Cmd.VolumeIncrease,18,18,True,0.9042982,0.90429795,2.3841858e-07
play it again.,Cmd.ListenMessage,10,10,True,0.6576903,0.65769047,1.7881393e-07
can you stream tv,Cmd.StreamingStart,13,13,True,0.9522402,0.95224,2.3841858e-07
please change to auditorium program,Cmd.MemoryChange,11,11,True,0.99489814,0.9948978,3.5762787e-07
can you stream from the microphone,Cmd.StreamingStart,13,13,True,0.96200794,0.9620082,2.3841858e-07
how will i know when my audiologist adjusted my hearing aids?,Help_RemoteProgramming,45,45,True,0.9741434,0.9741434,0.0
how do i find my hearing aid?,Help_FindMyHearingAids,32,32,True,0.97549176,0.9754919,1.1920929e-07
please switch to home program,Cmd.MemoryChange,11,11,True,0.9939452,0.99394524,5.9604645e-08
please fisher is jacking off in the car so it's in the closet,Default Fallback Intent,21,21,True,0.9969369,0.99693686,5.9604645e-08
send a message to my wife,Cmd.SendMessage,21,21,True,0.5378193,0.5378185,8.34465e-07
remaining battery,Cmd.BatteryLevel,8,8,True,0.9031667,0.90316665,5.9604645e-08
help with changing programs on my hearing aid,Help_ChangingMemories,25,25,True,0.9645868,0.96458685,5.9604645e-08
how do i geotag my current program?,Help_MemoryOptions,42,42,True,0.8523087,0.8523089,2.3841858e-07
please set to speech memory,Cmd.MemoryChange,11,11,True,0.99233055,0.99233025,2.9802322e-07
how are you,Default Fallback Intent,21,21,True,0.99509335,0.9950934,5.9604645e-08
i want to hear the television in my aids,Cmd.StreamingStart,13,13,True,0.9568906,0.9568905,5.9604645e-08
switch memory to number two,Cmd.MemoryChange,11,11,True,0.99260616,0.99260616,0.0
please adjustments didn't hear it in the office but i am out to your there,Default Fallback Intent,21,21,True,0.9963735,0.9963735,0.0
can you set setting to one,Cmd.MemoryChange,11,11,True,0.9876573,0.98765737,5.9604645e-08
show me an overview of ipro,Help_WhatsNew,53,53,True,0.82956994,0.82957,5.9604645e-08
when do i intercept an alert?,Help_FallAlert,31,31,True,0.95717716,0.9571771,5.9604645e-08
am i close to my aerobics goal,Cmd.ActivityAerobics,0,0,True,0.88728756,0.8872874,1.7881393e-07
take us to see forget it we are in the car and the drone noise will cost if i have them in the road noises being amplified as well,Default Fallback Intent,21,21,True,0.9934783,0.99347806,2.3841858e-07
please remind me on weekend,reminders.add,55,55,True,0.99145496,0.991455,5.9604645e-08
please show me thrive assistant help,Help_VoiceAssistant,51,51,True,0.8521103,0.8521098,5.364418e-07
explain the personalization options,Help_Customize,27,27,True,0.7458395,0.7458396,1.1920929e-07
i can't find my handset ring it,Cmd.FindMyPhone,9,9,True,0.8874468,0.88744694,1.1920929e-07
mute,Cmd.VolumeMute,21,21,True,0.6270255,0.62703,4.529953e-06
how do i change programs on the aids?,Help_ChangingMemories,25,25,True,0.9628413,0.96284145,1.7881393e-07
will i make it through the day,Cmd.BatteryLevel,8,8,True,0.7126571,0.7126561,1.013279e-06
connect right aid,Help_Pairing,43,43,True,0.9424722,0.9424722,0.0
tell me a joke i need to be cheered up,Default Fallback Intent,21,21,True,0.9945492,0.9945492,0.0
how do i go from one program to another,Help_ChangingMemories,25,25,True,0.7570942,0.7570934,7.748604e-07
switch to mute,Cmd.MemoryChange,11,11,True,0.9693369,0.9693368,1.1920929e-07
please change program to number two,Cmd.MemoryChange,11,11,True,0.9941111,0.9941111,0.0
change the memory,Cmd.MemoryChange,11,11,True,0.9848654,0.9848653,1.1920929e-07
caption the people talking,Cmd.TranscribeStart,15,15,True,0.78363013,0.78362995,1.7881393e-07
what did my contacts send me,Cmd.ListenMessage,21,21,True,0.59232026,0.59232044,1.7881393e-07
please schedule physical therapy appointment tomorrow morning 8:40 a.m.,reminders.add,55,55,True,0.73054355,0.73054403,4.7683716e-07
show me help for transcribe,Help_Transcribe,49,49,True,0.9539783,0.95397824,5.9604645e-08
how much more running do i need to do today?,Cmd.ActivityRun,4,4,True,0.9225658,0.92256564,1.7881393e-07
time my bike ride,Cmd.ActivityCycle,2,2,True,0.7032294,0.70322764,1.7881393e-06
please switch to everyday,Cmd.MemoryChange,11,11,True,0.9802475,0.980248,4.7683716e-07
can you change memory to restaurant,Cmd.MemoryChange,11,11,True,0.99494547,0.9949455,5.9604645e-08
can you change to train program,Cmd.MemoryChange,11,11,True,0.9940673,0.9940672,1.1920929e-07
how do i make lasagna,Default Fallback Intent,21,21,True,0.9968076,0.9968076,0.0
i need to connect the hearing aids to the phone,Help_Pairing,43,43,True,0.9725568,0.97255695,1.1920929e-07
can you change to memory number two,Cmd.MemoryChange,11,11,True,0.9952429,0.9952433,4.172325e-07
can i go to a different hearing aid program?,Help_ChangingMemories,25,25,True,0.8154025,0.8154017,8.34465e-07
how do i change memories on the aid?,Help_ChangingMemories,25,25,True,0.9241082,0.9241082,0.0
how do i change the name of the accessory?,Help_Accessories,22,22,True,0.9159504,0.91595066,2.3841858e-07
information on the activity score,Help_ThriveScore,47,47,True,0.94033384,0.9403339,5.9604645e-08
please personalize my hearing aid settings,Help_MemoryOptions,42,42,True,0.6820857,0.6820864,7.1525574e-07
how do i adjust my loudness of the tinnitus noise in my hearing aids?,Help_Tinnitus,48,48,True,0.98318857,0.9831885,5.9604645e-08
can you help for speech to text,Help_Transcribe,49,49,True,0.8395215,0.83952224,7.1525574e-07
please change memory to train,Cmd.MemoryChange,11,11,True,0.9940712,0.99407136,1.7881393e-07
locate the nearest golf course,Default Fallback Intent,21,21,True,0.9946467,0.9946466,1.1920929e-07
can you translate how much do i owe you in español,Cmd.TranslationStart,16,16,True,0.8827405,0.8827402,2.9802322e-07
can you mavis by stupid hearing aids,Default Fallback Intent,21,21,True,0.9955336,0.9955337,1.1920929e-07
use the profile for noisy places,Cmd.MemoryChange,11,11,True,0.98117816,0.9811782,5.9604645e-08
will i hear what is being transcribed?,Help_Transcribe,49,49,True,0.743547,0.74354666,3.5762787e-07
